lang_description,lang_code,constant_name,definition
Korean,kr,A,에이
Korean,kr,A check number or claim number to identify the payment,급여를 식별하는 수표 번호 또는 청구 번호
Korean,kr,A claim must be selected to enable this menu.,이 메뉴를 사용하려면 소유권 주장을 선택해야합니다.
Korean,kr,A client certificate for the admin user,관리자를 위한 클라이언트 인증서
Korean,kr,A clinical document is attached,의료 문서가 첨부됩니다
Korean,kr,A clinical document is attached.,의료 문서가 첨부됩니다.
Korean,kr,A code of this type is already selected. Erase the field first if you need to replace it.,이 유형의 코드가 이미 선택되어 있습니다. 당신이 그것을 대체해야하는 경우 첫 번째 필드를 지 웁니다.
Korean,kr,A distributor is required,배포자가 필요합니다.
Korean,kr,A GCAC visit form should be added to this visit.,GCAC 방문 폼은 이번 방문에서 추가되었습니다
Korean,kr,A large application like openEMR is used by a multitude of users with varying roles and degrees of responsibility. It is imperative that access to various parts of the program be granted to users on a need to know basis. To achieve this - Access Control Lists (ACL) are used.,openEMR과 같은 대규모 응용 프로그램은 다양한 역할과 책임감을 가진 수많은 사용자가 사용합니다. 프로그램의 다양한 부분에 대한 액세스가 사용자에게 알기 원할 때 필수적입니다. 이를 위해 액세스 제어 목록 (ACL)이 사용됩니다.
Korean,kr,A lot number is required,로트 번호가 필요합니다
Korean,kr,A lot number is required!,로트 번호가 필요합니다!
Korean,kr,A lowercase letter,소문자로 입력
Korean,kr,A number,수량
Korean,kr,A Patient Must Be Selected to Generate This Report,환자는이 보고서를 생성하기 위해 선택해야합니다
Korean,kr,A patient with this ID already exists.,이 ID의 환자는 이미 존재합니다.
Korean,kr,A patient with this name already exists.,이 이름의 환자는 이미 존재합니다.
Korean,kr,A patient with this SS already exists.,이 SS의 환자는 이미 존재합니다.
Korean,kr,A Payment is Required!. Please input a payment line item entry.,지불이 필요합니다!. 결제 광고 항목 항목을 입력하십시오.
Korean,kr,A positive number will show that many past appointments on a Widget in the Patient Summary screen (a negative number will show the past appointments in descending order),양수는 (음수가 내림차순으로 과거의 예정이 표시됩니다) 환자 요약 화면에 위젯에서 그 많은 과거의 예정이 나타납니다
Korean,kr,A positive number will show that many past appointments on a Widget in the Patient Summary screen.,양수는 환자의 요약 화면에 위젯에서 그 많은 과거의 이벤트가 표시됩니다.
Korean,kr,A product was selected but there is no product section in this form.,제품이 선택되었지만이 양식에는 제품 섹션이 없습니다.
Korean,kr,A referral source may be specified for each visit.,조회 원래는 각 방문을 위해 지정되어있다.
Korean,kr,A related IPPF code is required!,관련 IPPF 코드가 필요합니다
Korean,kr,A short description of this group that will appear when you hover over the newly created group (ARO).,새로 생성 된 그룹 (ARO) 위로 마우스를 가져 가면 나타나는이 그룹에 대한 간단한 설명.
Korean,kr,A special character,특수 문자
Korean,kr,"A unique value to identify this field, not visible to the user",독특한 값은 사용자에게 보이지 않는이 필드를 식별하는 데
Korean,kr,"A visit already exists for this group today. Click Cancel to open it, or OK to proceed with creating a new one.",오늘이 그룹에 대한 방문이 이미 있습니다. 취소를 클릭하여 열거 나 확인을 클릭하여 새 것을 작성하십시오.
Korean,kr,"A visit already exists for this patient today. Click Cancel to open it, or OK to proceed with creating a new one.",방문은 지금도이 환자를 위해 존재하고 있습니다. 새것을 창조하는 것을 계속하기 위해 그것을 열려면 취소 또는 OK를 클릭합니다.
Korean,kr,a.c.,a.c.
Korean,kr,a.m.,a.m
Korean,kr,A/C{{anterior chamber}},A / C {전치부}
Korean,kr,A/F Level Right:,A / F Level Right :
Korean,kr,AB,AB
Korean,kr,Abbreviation,약어
Korean,kr,Abcess:,농양
Korean,kr,Abdominal,복부
Korean,kr,Able to Bear Weight four (4) steps:,: 무게를 4 (4) 단계에 견딜
